mainLabel,subLabel,icon,description,minCap,maxCap,minBase,maxBase,Activate,mainCategory,subCategory,grade,keyType,mainKey,subKey,chooseKey,name
Main Weapon,Longsword,,Elsh Longsword (+0 ~ +7),"$7,700","$77,000","$8,300","$72,000",FALSE,1,1,1,0,10003,0,0,Elsh Longsword
Main Weapon,Longsword,,+8 Elsh Longsword (+8 ~ +10),"$487,000","$4,870,000","$525,000","$4,540,000",FALSE,1,1,1,0,10003,8,8,Elsh Longsword
Main Weapon,Longsword,,+11 Elsh Longsword (+11 ~ +12),"$1,150,000","$11,500,000","$1,240,000","$10,700,000",FALSE,1,1,1,0,10003,11,11,Elsh Longsword
Main Weapon,Longsword,,+13 Elsh Longsword (+13 ~ +15),"$2,410,000","$24,100,000","$2,600,000","$22,500,000",FALSE,1,1,1,0,10003,13,13,Elsh Longsword
Main Weapon,Longsword,,PRI : Elsh Longsword,"$7,950,000","$79,500,000","$8,550,000","$74,000,000",FALSE,1,1,1,0,10003,16,16,Elsh Longsword
Main Weapon,Longsword,,DUO : Elsh Longsword,"$13,600,000","$136,000,000","$14,700,000","$127,000,000",FALSE,1,1,1,0,10003,17,17,Elsh Longsword
Main Weapon,Longsword,,TRI : Elsh Longsword,"$29,500,000","$295,000,000","$31,800,000","$275,000,000",FALSE,1,1,1,0,10003,18,18,Elsh Longsword
Main Weapon,Longsword,,TET : Elsh Longsword,"$72,500,000","$725,000,000","$78,000,000","$675,000,000",FALSE,1,1,1,0,10003,19,19,Elsh Longsword
Main Weapon,Longsword,,PEN : Elsh Longsword,"$152,000,000","$3,810,000,000","$164,000,000","$3,550,000,000",FALSE,1,1,1,0,10003,20,20,Elsh Longsword
Main Weapon,Longsword,,Azwell Longsword (+0 ~ +7),"$17,500","$175,000","$18,900","$163,000",FALSE,1,1,1,0,10005,0,0,Azwell Longsword
Main Weapon,Longsword,,+8 Azwell Longsword (+8 ~ +10),"$497,000","$4,970,000","$535,000","$4,630,000",FALSE,1,1,1,0,10005,8,8,Azwell Longsword
Main Weapon,Longsword,,+11 Azwell Longsword (+11 ~ +12),"$1,160,000","$11,600,000","$1,250,000","$10,800,000",FALSE,1,1,1,0,10005,11,11,Azwell Longsword
Main Weapon,Longsword,,+13 Azwell Longsword (+13 ~ +15),"$2,410,000","$24,100,000","$2,600,000","$22,500,000",FALSE,1,1,1,0,10005,13,13,Azwell Longsword
Main Weapon,Longsword,,PRI : Azwell Longsword,"$7,950,000","$79,500,000","$8,550,000","$74,000,000",FALSE,1,1,1,0,10005,16,16,Azwell Longsword
Main Weapon,Longsword,,DUO : Azwell Longsword,"$13,600,000","$136,000,000","$14,700,000","$127,000,000",FALSE,1,1,1,0,10005,17,17,Azwell Longsword
Main Weapon,Longsword,,TRI : Azwell Longsword,"$29,500,000","$295,000,000","$31,800,000","$275,000,000",FALSE,1,1,1,0,10005,18,18,Azwell Longsword
Main Weapon,Longsword,,TET : Azwell Longsword,"$72,500,000","$725,000,000","$78,000,000","$675,000,000",FALSE,1,1,1,0,10005,19,19,Azwell Longsword
Main Weapon,Longsword,,PEN : Azwell Longsword,"$152,000,000","$3,810,000,000","$164,000,000","$3,550,000,000",FALSE,1,1,1,0,10005,20,20,Azwell Longsword
Main Weapon,Longsword,,Ain Longsword (+0 ~ +7),"$20,200","$405,000","$21,800","$377,000",FALSE,1,1,1,0,10006,0,0,Ain Longsword
Main Weapon,Longsword,,+8 Ain Longsword (+8 ~ +10),"$500,000","$10,000,000","$540,000","$9,350,000",FALSE,1,1,1,0,10006,8,8,Ain Longsword
Main Weapon,Longsword,,+11 Ain Longsword (+11 ~ +12),"$1,160,000","$23,200,000","$1,250,000","$21,600,000",FALSE,1,1,1,0,10006,11,11,Ain Longsword
Main Weapon,Longsword,,+13 Ain Longsword (+13 ~ +15),"$2,420,000","$48,500,000","$2,610,000","$45,200,000",FALSE,1,1,1,0,10006,13,13,Ain Longsword
Main Weapon,Longsword,,PRI : Ain Longsword,"$7,950,000","$159,000,000","$8,550,000","$148,000,000",FALSE,1,1,1,0,10006,16,16,Ain Longsword
Main Weapon,Longsword,,DUO : Ain Longsword,"$13,600,000","$272,000,000","$14,700,000","$254,000,000",FALSE,1,1,1,0,10006,17,17,Ain Longsword
Main Weapon,Longsword,,TRI : Ain Longsword,"$29,500,000","$590,000,000","$31,800,000","$550,000,000",FALSE,1,1,1,0,10006,18,18,Ain Longsword
Main Weapon,Longsword,,TET : Ain Longsword,"$72,500,000","$1,450,000,000","$78,000,000","$1,350,000,000",FALSE,1,1,1,0,10006,19,19,Ain Longsword
Main Weapon,Longsword,,PEN : Ain Longsword,"$152,000,000","$7,600,000,000","$164,000,000","$7,100,000,000",FALSE,1,1,1,0,10006,20,20,Ain Longsword
Main Weapon,Longsword,,Seleth Longsword (+0 ~ +7),"$23,100","$231,000","$24,900","$215,000",FALSE,1,1,1,0,10007,0,0,Seleth Longsword
Main Weapon,Longsword,,+8 Seleth Longsword (+8 ~ +10),"$500,000","$5,000,000","$540,000","$4,660,000",FALSE,1,1,1,0,10007,8,8,Seleth Longsword
Main Weapon,Longsword,,+11 Seleth Longsword (+11 ~ +12),"$1,160,000","$11,600,000","$1,250,000","$10,800,000",FALSE,1,1,1,0,10007,11,11,Seleth Longsword
Main Weapon,Longsword,,+13 Seleth Longsword (+13 ~ +15),"$2,420,000","$24,200,000","$2,610,000","$22,600,000",FALSE,1,1,1,0,10007,13,13,Seleth Longsword
Main Weapon,Longsword,,PRI : Seleth Longsword,"$7,950,000","$79,500,000","$8,550,000","$74,000,000",FALSE,1,1,1,0,10007,16,16,Seleth Longsword
Main Weapon,Longsword,,DUO : Seleth Longsword,"$13,600,000","$136,000,000","$14,700,000","$127,000,000",FALSE,1,1,1,0,10007,17,17,Seleth Longsword
Main Weapon,Longsword,,TRI : Seleth Longsword,"$29,500,000","$295,000,000","$31,800,000","$275,000,000",FALSE,1,1,1,0,10007,18,18,Seleth Longsword
Main Weapon,Longsword,,TET : Seleth Longsword,"$72,500,000","$725,000,000","$78,000,000","$675,000,000",FALSE,1,1,1,0,10007,19,19,Seleth Longsword
